date,pe_ratio
01/02/1900,12.9375
01/03/1900,13.04166667
01/04/1900,13.20833333
01/05/1900,12.58333333
01/06/1900,12.20833333
01/07/1900,12.20833333
01/08/1900,12.375
01/09/1900,12.08333333
01/10/1900,12.52083333
01/11/1900,13.5
01/12/1900,14.3125
01/01/1901,14.67718497
01/02/1901,15.00103455
01/03/1901,15.48453608
01/04/1901,16.72488186
01/05/1901,15.83043211
01/06/1901,17.34693878
01/07/1901,16.12772015
01/08/1901,16.29839854
01/09/1901,16.16161616
01/10/1901,15.9251057
01/11/1901,16.21513145
01/12/1901,15.9
01/01/1902,15.89663273
01/02/1902,15.6986774
01/03/1902,15.39906103
01/04/1902,15.60831953
01/05/1902,15.2652472
01/06/1902,14.88495575
01/07/1902,14.93574158
01/08/1902,15.05028123
01/09/1902,14.81171548
01/10/1902,14.0884432
01/11/1902,13.30749354
01/12/1902,12.77777778
01/01/1903,13.60784945
01/02/1903,13.71270178
01/03/1903,13.3553719
01/04/1903,12.98810122
01/05/1903,12.91857896
01/06/1903,12.37931034
01/07/1903,11.98180864
01/08/1903,11.76992721
01/09/1903,11.65765766
01/10/1903,11.45052131
01/11/1903,11.66635705
01/12/1903,12.39622642
01/01/1904,12.6827416
01/02/1904,12.42117332
01/03/1904,12.46153846
01/04/1904,12.85078382
01/05/1904,12.66315995
01/06/1904,12.76470588
01/07/1904,13.38069864
01/08/1904,13.92807471
01/09/1904,14.64
01/10/1904,15.60297967
01/11/1904,16.56192986
01/12/1904,16.83673469
01/01/1905,16.69306931
01/02/1905,16.92307692
01/03/1905,16.91588785
01/04/1905,16.25454545
01/05/1905,15.04424779
01/06/1905,14.82758621
01/07/1905,14.90756303
01/08/1905,15.08196721
01/09/1905,14.768
01/10/1905,14.625
01/11/1905,14.21374046
01/12/1905,14.23880597
01/01/1906,14.56826568
01/02/1906,14.30656934
01/03/1906,13.80505415
01/04/1906,13.47142857
01/05/1906,12.97526502
01/06/1906,13.00699301
01/07/1906,12.53979239
01/08/1906,13.32876712
01/09/1906,13.6
01/10/1906,13.06040268
01/11/1906,13.19601329
01/12/1906,12.94736842
01/01/1907,12.71783956
01/02/1907,12.45795776
01/03/1907,11.36054422
01/04/1907,11.54534196
01/05/1907,11.27662537
01/06/1907,11.04225352
01/07/1907,11.60039903
01/08/1907,10.86109909
01/09/1907,10.87591241
01/10/1907,9.812324516
01/11/1907,9.352087386
01/12/1907,9.954545455
01/01/1908,10.48522884
01/02/1908,10.2056595
01/03/1908,10.734375
01/04/1908,11.43218064
